,ROSTER_CHANGE_INTERVAL,PROB_INCREASE_WINS,AVG_INCREASE,AVG_CHANGE,NET_RTG_CHANGE
0,"[0.0, 0.1)",1.0,3.0,3.0,"[0, 5]"
1,"[0.1, 0.2)",0.7,6.0,2.5,"[0, 5]"
2,"[0.2, 0.3)",0.9411764705882353,6.9375,6.352941176470588,"[0, 5]"
3,"[0.3, 0.4)",0.8717948717948718,6.764705882352941,5.410256410256411,"[0, 5]"
4,"[0.4, 0.5)",0.7727272727272727,7.921568627450981,5.454545454545454,"[0, 5]"
5,"[0.5, 0.6)",0.8,6.791666666666667,4.85,"[0, 5]"
6,"[0.6, 0.7)",0.6923076923076923,7.2592592592592595,3.9743589743589745,"[0, 5]"
7,"[0.7, 0.8)",0.7777777777777778,6.571428571428571,5.111111111111111,"[0, 5]"
8,"[0.1, 0.2)",1.0,13.75,13.75,"[5, 10]"
9,"[0.2, 0.3)",1.0,20.333333333333332,20.333333333333332,"[5, 10]"
10,"[0.3, 0.4)",1.0,16.25,16.25,"[5, 10]"
11,"[0.4, 0.5)",1.0,14.555555555555555,14.555555555555555,"[5, 10]"
12,"[0.5, 0.6)",1.0,14.875,14.875,"[5, 10]"
13,"[0.6, 0.7)",0.9,13.333333333333334,11.6,"[5, 10]"
14,"[0.7, 0.8)",1.0,17.0,17.0,"[5, 10]"
